"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"CM0130","2020-04-05 00:00:00","11.000","2.000","5.400","19.100","0.720","1017.400","","0.000","-99.000","-99.000","-99.000","23.300","","19.000",""
"C0AC70","2020-04-05 00:00:00","71.000","75.000","1.400","17.000","0.700","1013.300","","0.500","-99.000","-99.000","-99.000","18.300","","16.600",""
"CM0100","2020-04-05 00:00:00","25.000","82.000","2.100","17.300","0.650","1017.900","","0.000","-99.000","-99.000","-99.000","19.800","","17.300",""
"C0X050","2020-04-05 00:00:00","25.000","350.000","3.700","17.400","0.890","1014.000","","0.000","-99.000","-99.000","-99.000","26.700","","17.300",""
"C0K580","2020-04-05 00:00:00","26.000","4.000","2.700","17.500","0.870","1016.800","","0.000","-99.000","-99.000","-99.000","25.500","","17.500",""
"C0G650","2020-04-05 00:00:00","34.000","360.000","1.100","18.200","0.770","1014.400","","0.000","-99.000","-99.000","-99.000","25.900","","18.200",""
"C0T9B0","2020-04-05 00:00:00","558.000","0.000","0.100","13.800","1.000","957.900","","9.000","-99.000","-99.000","-99.000","17.300","","13.800",""
"C0E850","2020-04-05 00:00:00","104.000","42.000","0.900","16.000","0.760","1007.400","","0.000","-99.000","-99.000","-99.000","18.900","","15.800",""
"C0S990","2020-04-05 00:00:00","409.000","32.000","3.400","18.400","0.930","973.000","","0.000","-99.000","-99.000","-99.000","23.300","","18.300",""
"C0X240","2020-04-05 00:00:00","394.000","27.000","0.300","16.000","0.910","973.100","","0.000","-99.000","-99.000","-99.000","25.200","","15.800",""
"C0I090","2020-04-05 00:00:00","910.000","208.000","0.900","16.500","1.000","916.100","","0.000","-99.000","-99.000","-99.000","21.900","","15.700",""
"C0I490","2020-04-05 00:00:00","1601.000","45.000","0.600","13.100","0.980","844.900","","0.000","-99.000","-99.000","-99.000","22.500","","12.400",""
"C0Z050","2020-04-05 00:00:00","830.000","0.000","0.000","13.900","0.990","928.300","","0.500","-99.000","-99.000","-99.000","17.100","","13.900",""
"C0X150","2020-04-05 00:00:00","18.000","22.000","3.600","18.000","0.810","1017.500","","0.000","-99.000","-99.000","-99.000","26.400","","18.000",""
"C0R690","2020-04-05 00:00:00","248.000","17.000","2.000","20.000","0.880","988.600","","0.000","-99.000","-99.000","-99.000","26.600","","20.000",""
"C0U720","2020-04-05 00:00:00","1260.000","12.000","2.600","9.400","1.000","892.200","","6.000","-99.000","-99.000","-99.000","16.400","","9.400",""
"C0G660","2020-04-05 00:00:00","27.000","8.000","2.300","17.900","0.720","1016.700","","0.000","-99.000","-99.000","-99.000","24.400","","17.900",""
"C0E750","2020-04-05 00:00:00","62.000","46.000","2.800","16.900","0.700","1011.600","","0.000","-99.000","-99.000","-99.000","19.800","","16.600",""
"C0U520","2020-04-05 00:00:00","517.000","0.000","0.200","12.400","0.990","965.000","","1.000","-99.000","-99.000","-99.000","18.200","","12.300",""
"C0T9G0","2020-04-05 00:00:00","605.000","43.000","2.000","13.400","0.990","953.700","","4.000","-99.000","-99.000","-99.000","17.300","","13.400",""
"C0S700","2020-04-05 00:00:00","507.000","57.000","0.800","16.300","1.000","963.000","","2.000","-99.000","-99.000","-99.000","22.500","","16.300",""
"C0Z310","2020-04-05 00:00:00","59.000","343.000","0.400","17.900","0.960","1014.600","","1.000","-99.000","-99.000","-99.000","21.700","","17.900",""
"C0V610","2020-04-05 00:00:00","22.000","357.000","2.300","19.000","0.800","1014.800","","0.000","-99.000","-99.000","-99.000","28.100","","19.000",""
"C0E610","2020-04-05 00:00:00","850.000","0.000","0.000","12.200","0.960","923.300","","0.500","-99.000","-99.000","-99.000","19.300","","11.900",""
"C0R280","2020-04-05 00:00:00","242.000","64.000","2.600","19.600","0.960","990.500","","0.500","9.200","50.000","","25.700","","19.600",""
"C0V450","2020-04-05 00:00:00","51.000","335.000","1.400","20.100","0.730","1010.800","","0.000","-99.000","-99.000","-99.000","29.000","","19.800",""
"C0M720","2020-04-05 00:00:00","225.000","0.000","0.000","16.800","0.860","991.800","","0.000","-99.000","-99.000","-99.000","24.500","","16.100",""
